1,Tran Thi Mot,a1@student.ctu.edu.vn,1/1/2002,123,ava0.jpg
2,Tran Thi Hai,a2@student.ctu.edu.vn,1/2/2002,123,ava0.jpg
3,Tran Thi Ba,a3@student.ctu.edu.vn,1/3/2002,123,ava0.jpg
4,Tran Thi Bon,a4@student.ctu.edu.vn,1/4/2002,123,ava0.jpg
5,Tran Thi Nam,a5@student.ctu.edu.vn,1/5/2002,123,ava0.jpg
6,Nguyen Van Sau,a6@student.ctu.edu.vn,1/6/2002,123,ava1.jpg
7,Nguyen Van Bay,a7@student.ctu.edu.vn,1/7/2002,123,ava1.jpg
8,Nguyen Van Tam,a8@student.ctu.edu.vn,1/8/2002,123,ava1.jpg
9,Nguyen Van Chin,a9@student.ctu.edu.vn,1/9/2002,123,ava1.jpg
10,Nguyen Van Muoi,a10@student.ctu.edu.vn,1/10/2002,123,ava1.jpg
